Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Status,Number of Articles,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Total Funding Amount,Number of Investors,Last Funding Type,Website,Number of Funding Rounds
BitInstant,https://www.crunchbase.com/organization/bitinstant,"Software, Payments, Financial Services","New York, New York, United States",BitInstant is an online payment processor that facilitates the transfer of funds between Bitcoin exchanges.,"4,234",01/01/2011,Closed,139,"Financial Services, Bitcoin, Finance",2,11-50,05/18/2013,"$1,500,000","$1,500,000",2,Seed,http://www.bitinstant.com,1
Postcard on the Run,https://www.crunchbase.com/organization/postcard-on-the-run,"Apps, Software, Mobile","Los Angeles, California, United States",Postcard on the Run is a mobile app that allows users to take photographs from their mobile phone and personalize it with messages.,"5,542",09/01/2011,Closed,10,"Mobile, Apps",1,1-10,11/22/2012,"$1,300,000","$3,882,595",9,Seed,http://www.postcardontherun.com,3
The Happy Home Company,https://www.crunchbase.com/organization/the-happy-home-company,"Consumer Electronics, Real Estate","San Jose, California, United States","The Happy Home Company provides personal home management that includes home improvement, maintenance and repair.","6,140",01/01/2014,Closed,7,"Home Improvement, Consumer, Home Automation",2,1-10,12/22/2015,"$3,500,000","$3,500,000",16,Seed,http://www.thehappyhome.co,1
Balanced,https://www.crunchbase.com/organization/balanced,"Commerce and Shopping, Software, Payments, Financial Services, Mobile","San Francisco, California, United States","Balanced is a payment system allowing marketplaces to charge cards, escrow funds, deposit via ACH direct, and collect fees.","9,066",10/11/2010,Closed,8,"E-Commerce, Mobile Payments, Payments",3,11-50,04/01/2014,,"$3,550,000",21,Seed,http://www.balancedpayments.com,5
North Technologies,https://www.crunchbase.com/organization/north-technologies,"Software, Internet Services","San Francisco, California, United States",A startup in the consumer internet space,"9,274",01/01/2011,Closed,28,"File Sharing, Internet, Service Industry",2,1-10,01/15/2015,"$5,000,000","$5,000,000",13,Seed,http://www.n-o-r-t-h-t-e-c-h-n-o-l-o-g-i-e-s.com/,2
Din,https://www.crunchbase.com/organization/din,Food and Beverage,"San Mateo, California, United States","The best dishes from notable restaurants & chefs, developed for the home kitchen.","9,426",07/01/2014,Closed,1,Restaurants,2,11-50,09/25/2015,"$3,000,000","$3,000,000",13,Seed,https://www.din.co/,1
Ridejoy,https://www.crunchbase.com/organization/ridejoy,"Travel and Tourism, Media and Entertainment, Transportation, Internet Services","San Francisco, California, United States","Ridejoy is a market platform enabling users to share, offer, request and book rides with others.","9,468",01/01/2011,Closed,13,"Transportation, Collaborative Consumption, Social Media, Travel",3,11-50,02/06/2012,"$1,300,000","$1,300,000",7,Seed,http://ridejoy.com,1
WrkRiot,https://www.crunchbase.com/organization/1for-one,"Data and Analytics, Software, Professional Services","Santa Clara, California, United States",Taking the search out of job search with a patent pending customized platform utilizing NLP and Machine Learning.,"10,912",11/01/2015,Closed,1,"Natural Language Processing, SaaS, Employment, Machine Learning, Text Analytics",1,11-50,08/01/2016,"$130,000","$1,130,000",2,Seed,http://wrkriot.com,2
Beautified,https://www.crunchbase.com/organization/beautified,"Consumer Goods, Mobile","New York, New York, United States",Beautified is a new way to book last minute beauty & wellness appointments. Download the iOS app and book treatments in minutes.,"11,481",01/01/2013,Closed,6,"Beauty, Mobile",3,11-50,08/13/2014,"$1,200,000","$1,200,000",3,Seed,http://www.getbeautified.com,1
Planwise,https://www.crunchbase.com/organization/planwise,"Real Estate, Software, Financial Services","San Mateo, California, United States",Planwise vision is to create technology that people trust to help them make financial decisions and take control of their personal economy.,"11,936",01/05/2011,Closed,8,"Real Estate, Personal Finance, Finance, FinTech, Software",1,1-10,05/18/2015,"$750,000","$1,610,000",2,Seed,http://www.planwise.com,4
